E1,A1,Z1,E2,A2,Z2,E,A,Z,MeV
Be,9.0,4.0,Sn,122.0,50.0,Xe,131.0,54.0,9.789071496881661
B,11.0,5.0,Sn,122.0,50.0,Cs,133.0,55.0,7.102642512487364
C,13.0,6.0,Sn,117.0,50.0,Ba,130.0,56.0,0.19933973738807254
C,13.0,6.0,Sn,119.0,50.0,Ba,132.0,56.0,1.5127464183897246
C,13.0,6.0,Sn,122.0,50.0,Ba,135.0,56.0,1.1122039553738432
C,12.0,6.0,Sn,124.0,50.0,Ba,136.0,56.0,0.8197148080071202
C,13.0,6.0,Sn,124.0,50.0,Ba,137.0,56.0,2.8261530993913766
N,14.0,7.0,Sn,124.0,50.0,La,138.0,57.0,1.5574581351975212
D,2.0,1.0,Sr,87.0,38.0,Y,89.0,39.0,16.358899384213146
Н,1.0,1.0,Sr,88.0,38.0,Y,89.0,39.0,7.456610270499368
Не,4.0,2.0,Sr,86.0,38.0,Zr,90.0,40.0,7.026259996302542
He,3.0,2.0,Sr,87.0,38.0,Zr,90.0,40.0,19.188778460011235
Не,4.0,2.0,Sr,87.0,38.0,Zr,91.0,40.0,5.815317666318151
He,3.0,2.0,Sr,88.0,38.0,Zr,91.0,40.0,15.26718829901074
Не,4.0,2.0,Sr,88.0,38.0,Zr,92.0,40.0,3.374803124301252
Li,7.0,3.0,Sr,86.0,38.0,Nb,93.0,41.0,17.926603954503662
Li,6.0,3.0,Sr,87.0,38.0,Nb,93.0,41.0,16.76316782362119
Be,9.0,4.0,Sr,86.0,38.0,Mo,95.0,42.0,14.648676216587774
Be,9.0,4.0,Sr,87.0,38.0,Mo,96.0,42.0,15.393871496606153
Be,9.0,4.0,Sr,88.0,38.0,Mo,97.0,42.0,11.220777928596362
C,12.0,6.0,Sr,84.0,38.0,Ru,96.0,44.0,5.38030992160202
C,12.0,6.0,Sr,86.0,38.0,Ru,98.0,44.0,3.502417815994704
C,13.0,6.0,Sr,86.0,38.0,Ru,99.0,44.0,6.086382449400844
C,12.0,6.0,Sr,87.0,38.0,Ru,99.0,44.0,2.6174984210083494
C,13.0,6.0,Sr,87.0,38.0,Ru,100.0,44.0,8.59210157841153
C,12.0,6.0,Sr,88.0,38.0,Ru,100.0,44.0,2.4125697190029314
C,13.0,6.0,Sr,88.0,38.0,Ru,101.0,44.0,4.512157420394942
N,15.0,7.0,Sr,88.0,38.0,Rh,103.0,45.0,0.8551115838054102
O,18.0,8.0,Sr,84.0,38.0,Pd,102.0,46.0,7.075629183615092
O,18.0,8.0,Sr,86.0,38.0,Pd,104.0,46.0,4.527061326007242
O,17.0,8.0,Sr,87.0,38.0,Pd,104.0,46.0,4.158189662412042
O,18.0,8.0,Sr,87.0,38.0,Pd,105.0,46.0,3.1763948810112197
O,17.0,8.0,Sr,88.0,38.0,Pd,105.0,46.0,0.09687538639991544
O,18.0,8.0,Sr,88.0,38.0,Pd,106.0,46.0,1.4624457369936863
Не,4.0,2.0,Sr*,90.0,38.0,Zr,94.0,40.0,3.533157121302793
C,12.0,6.0,Sr*,90.0,38.0,Ru,102.0,44.0,3.3626937009830726
O,18.0,8.0,Sr*,90.0,38.0,Pd,108.0,46.0,2.393939836983918
F,19.0,9.0,Sr*,90.0,38.0,Ag,109.0,47.0,0.9640963934944011
D,2.0,1.0,Ta,180.0,73.0,W,182.0,74.0,12.437309223198099
Н,1.0,1.0,Ta,181.0,73.0,W,182.0,74.0,7.018808043503668
D,2.0,1.0,Ta,181.0,73.0,W,183.0,74.0,10.984178427199367
Li,6.0,3.0,Ta,180.0,73.0,Os,186.0,76.0,8.109587634593481
Li,7.0,3.0,Ta,180.0,73.0,Os,187.0,76.0,7.046752866503084
Li,6.0,3.0,Ta,181.0,73.0,Os,187.0,76.0,6.65645683859475
Li,7.0,3.0,Ta,181.0,73.0,Os,188.0,76.0,7.465925211494323
B,10.0,5.0,Ta,180.0,73.0,Pt,190.0,78.0,0.47413049690658227
Н,1.0,1.0,Tb,159.0,65.0,Dy,160.0,66.0,7.4007206244859844
D,2.0,1.0,Tb,159.0,65.0,Dy,161.0,66.0,11.598964533186518
Li,7.0,3.0,Tb,159.0,65.0,Er,166.0,68.0,9.831920225493377
D,2.0,1.0,Te,125.0,52.0,I,127.0,53.0,13.199271396995755
Н,1.0,1.0,Te,126.0,52.0,I,127.0,53.0,6.25498288149538
Не,4.0,2.0,Te,120.0,52.0,Xe,124.0,54.0,0.92497364130395
Не,4.0,2.0,Te,122.0,52.0,Xe,126.0,54.0,1.3357625394128263
He,3.0,2.0,Te,123.0,52.0,Xe,126.0,54.0,14.942096858096193
Не,4.0,2.0,Te,124.0,52.0,Xe,128.0,54.0,1.6999767325178254
He,3.0,2.0,Te,125.0,52.0,Xe,128.0,54.0,15.753428219206398
Не,4.0,2.0,Te,125.0,52.0,Xe,129.0,54.0,2.085615289892303
He,3.0,2.0,Te,126.0,52.0,Xe,129.0,54.0,13.495486520798295
Не,4.0,2.0,Te,126.0,52.0,Xe,130.0,54.0,2.175038723493344
He,3.0,2.0,Te,128.0,52.0,Xe,131.0,54.0,14.580677147299866
Не,4.0,2.0,Te,128.0,52.0,Xe,132.0,54.0,2.9351379090949195
Не,4.0,2.0,Te,130.0,52.0,Xe,134.0,54.0,3.6374844605161343
Li,7.0,3.0,Te,126.0,52.0,Cs,133.0,55.0,13.187161973692128
Li,7.0,3.0,Te,130.0,52.0,Cs*,137.0,55.0,14.79678377849632
Be,9.0,4.0,Te,123.0,52.0,Ba,132.0,56.0,10.475582648577983
Be,9.0,4.0,Te,125.0,52.0,Ba,134.0,56.0,11.453651453586644
Be,9.0,4.0,Te,126.0,52.0,Ba,135.0,56.0,9.182668837776873
Be,9.0,4.0,Te,128.0,52.0,Ba,137.0,56.0,10.559417117576231
B,10.0,5.0,Te,128.0,52.0,La,138.0,57.0,10.096464549889788
B,11.0,5.0,Te,128.0,52.0,La,139.0,57.0,7.410035565495491
C,13.0,6.0,Te,123.0,52.0,Ce,136.0,58.0,0.40426843937893864
C,13.0,6.0,Te,125.0,52.0,Ce,138.0,58.0,1.913288881391054
He,3.0,2.0,Th*,232.0,90.0,U*,235.0,92.0,9.601841182768112
D,2.0,1.0,Ti,48.0,22.0,V,50.0,23.0,13.865289678498812
Н,1.0,1.0,Ti,49.0,22.0,V,50.0,23.0,7.942850190702302
D,2.0,1.0,Ti,49.0,22.0,V,51.0,23.0,16.758510353101883
Н,1.0,1.0,Ti,50.0,22.0,V,51.0,23.0,8.045314541697735
Не,4.0,2.0,Ti,46.0,22.0,Cr,50.0,24.0,8.555773308500648
He,3.0,2.0,Ti,47.0,22.0,Cr,50.0,24.0,20.24788725169492
Не,4.0,2.0,Ti,48.0,22.0,Cr,52.0,24.0,9.349406281697156
He,3.0,2.0,Ti,49.0,22.0,Cr,52.0,24.0,21.781126540299738
Не,4.0,2.0,Ti,49.0,22.0,Cr,53.0,24.0,9.14634056790237
He,3.0,2.0,Ti,50.0,22.0,Cr,53.0,24.0,18.787304502897314
Не,4.0,2.0,Ti,50.0,22.0,Cr,54.0,24.0,7.9307407673986745
Li,7.0,3.0,Ti,48.0,22.0,Mn,55.0,25.0,24.124765695894894
Li,6.0,3.0,Ti,49.0,22.0,Mn,55.0,25.0,23.230531359899032
Be,9.0,4.0,Ti,47.0,22.0,Fe,56.0,26.0,27.024506829191523
Be,9.0,4.0,Ti,48.0,22.0,Fe,57.0,26.0,23.045164033996116
Be,9.0,4.0,Ti,49.0,22.0,Fe,58.0,26.0,24.946343492098094
B,11.0,5.0,Ti,48.0,22.0,Co,59.0,27.0,22.414542528298625
B,10.0,5.0,Ti,49.0,22.0,Co,59.0,27.0,25.724141065598815
B,11.0,5.0,Ti,49.0,22.0,Co*,60.0,27.0,21.76529114060395
B,10.0,5.0,Ti,50.0,22.0,Co*,60.0,27.0,22.2841333542965
C,12.0,6.0,Ti,46.0,22.0,Ni,58.0,28.0,16.106464483098534
C,13.0,6.0,Ti,47.0,22.0,Ni,60.0,28.0,22.66231995889393
C,12.0,6.0,Ti,48.0,22.0,Ni,60.0,28.0,15.989096226498077
C,13.0,6.0,Ti,48.0,22.0,Ni,61.0,28.0,18.865550007300044
C,12.0,6.0,Ti,49.0,22.0,Ni,61.0,28.0,15.665867773801438
C,13.0,6.0,Ti,49.0,22.0,Ni,62.0,28.0,21.308859031603788
C,12.0,6.0,Ti,50.0,22.0,Ni,62.0,28.0,15.318420474497543
N,15.0,7.0,Ti,48.0,22.0,Cu,63.0,29.0,17.19631258010486
N,14.0,7.0,Ti,49.0,22.0,Cu,63.0,29.0,20.040164067402657
N,15.0,7.0,Ti,50.0,22.0,Cu,65.0,29.0,15.93972703920008
O,18.0,8.0,Ti,46.0,22.0,Zn,64.0,30.0,21.096478376799496
O,17.0,8.0,Ti,47.0,22.0,Zn,64.0,30.0,20.25720219269715
O,16.0,8.0,Ti,48.0,22.0,Zn,64.0,30.0,12.77823606380116
O,18.0,8.0,Ti,48.0,22.0,Zn,66.0,30.0,19.617265746004705
O,17.0,8.0,Ti,49.0,22.0,Zn,66.0,30.0,19.51759587731067
O,18.0,8.0,Ti,49.0,22.0,Zn,67.0,30.0,18.51623971980007
O,16.0,8.0,Ti,50.0,22.0,Zn,66.0,30.0,12.721414923704288
O,17.0,8.0,Ti,50.0,22.0,Zn,67.0,30.0,15.625813527498394
O,18.0,8.0,Ti,50.0,22.0,Zn,68.0,30.0,17.777564898497076
F,19.0,9.0,Ti,50.0,22.0,Ga,69.0,31.0,16.31325617330731
Ne,22.0,10.0,Ti,48.0,22.0,Ge,70.0,32.0,13.931425759597914
Ne,21.0,10.0,Ti,49.0,22.0,Ge,70.0,32.0,16.151176199899055
Ne,20.0,10.0,Ti,50.0,22.0,Ge,70.0,32.0,11.974356655497104
Ne,22.0,10.0,Ti,50.0,22.0,Ge,72.0,32.0,13.127546351301135
Mg,26.0,12.0,Ti,48.0,22.0,Se,74.0,34.0,7.534855774909374
Mg,25.0,12.0,Ti,49.0,22.0,Se,74.0,34.0,10.485829083700082
Mg,24.0,12.0,Ti,50.0,22.0,Se,74.0,34.0,6.879083928506589
Mg,26.0,12.0,Ti,50.0,22.0,Se,76.0,34.0,7.593539903202327
Si,30.0,14.0,Ti,48.0,22.0,Kr,78.0,36.0,1.2491335881059058
Si,29.0,14.0,Ti,49.0,22.0,Kr,78.0,36.0,3.7166614590096287
Si,28.0,14.0,Ti,50.0,22.0,Kr,78.0,36.0,1.256585540890228
Si,30.0,14.0,Ti,50.0,22.0,Kr,80.0,36.0,2.019479208785924
Ar,40.0,18.0,Ti,50.0,22.0,Zr,90.0,40.0,2.658484161394881
Ca,46.0,20.0,Ti,46.0,22.0,Mo,92.0,42.0,0.02980781119549647
Ca,43.0,20.0,Ti,49.0,22.0,Mo,92.0,42.0,0.3325433936988702
Н,1.0,1.0,Tl,203.0,81.0,Pb,204.0,82.0,6.601498686679406
Н,1.0,1.0,Tl,205.0,81.0,Pb,206.0,82.0,7.303845238086069
D,2.0,1.0,Tl,205.0,81.0,Pb,207.0,82.0,11.798304270603694
Н,1.0,1.0,Tm,169.0,69.0,Yb,170.0,70.0,6.795249459508341
D,2.0,1.0,Tm,169.0,69.0,Yb,171.0,70.0,11.151847365224967
Li,7.0,3.0,Tm,169.0,69.0,Hf,176.0,72.0,8.108656140509993
D,2.0,1.0,V,50.0,23.0,Cr,52.0,24.0,19.33129705729516
Н,1.0,1.0,V,51.0,23.0,Cr,52.0,24.0,10.515636894895579
D,2.0,1.0,V,51.0,23.0,Cr,53.0,24.0,16.235010668897303
Не,4.0,2.0,V,51.0,23.0,Mn,55.0,25.0,7.942850190695026
Li,6.0,3.0,V,50.0,23.0,Fe,56.0,26.0,25.484747081893147
Li,7.0,3.0,V,50.0,23.0,Fe,57.0,26.0,25.87318012159085
Li,6.0,3.0,V,51.0,23.0,Fe,57.0,26.0,22.085725110991916
Li,7.0,3.0,V,51.0,23.0,Fe,58.0,26.0,24.881138905089756
Be,9.0,4.0,V,50.0,23.0,Co,59.0,27.0,24.36881715009804
Be,9.0,4.0,V,51.0,23.0,Co*,60.0,27.0,20.82634508780029
B,10.0,5.0,V,50.0,23.0,Ni,60.0,28.0,27.31233850609715
B,11.0,5.0,V,50.0,23.0,Ni,61.0,28.0,23.67951151610032
B,10.0,5.0,V,51.0,23.0,Ni,61.0,28.0,24.095889378797438
B,11.0,5.0,V,51.0,23.0,Ni,62.0,28.0,23.229599865800992
C,13.0,6.0,V,50.0,23.0,Cu,63.0,29.0,19.490582548402017
C,12.0,6.0,V,51.0,23.0,Cu,63.0,29.0,13.397679640300339
N,14.0,7.0,V,50.0,23.0,Zn,64.0,30.0,19.805427554201742
N,15.0,7.0,V,51.0,23.0,Zn,66.0,30.0,16.802290575804363
O,18.0,8.0,V,51.0,23.0,Ga,69.0,31.0,16.260161009602598
F,19.0,9.0,V,51.0,23.0,Ge,70.0,32.0,16.77248276460159
Na,23.0,11.0,V,51.0,23.0,Se,74.0,34.0,10.526814824101166
Al,27.0,13.0,V,51.0,23.0,Kr,78.0,36.0,4.7925371445016935
D,2.0,1.0,W,183.0,74.0,Re,185.0,75.0,10.592950905207545
Н,1.0,1.0,W,184.0,74.0,Re,185.0,75.0,5.398008309479337
Н,1.0,1.0,W,186.0,74.0,Re,187.0,75.0,5.779920890490757
He,3.0,2.0,W,183.0,74.0,Os,186.0,76.0,11.531896958011203
He,3.0,2.0,W,184.0,74.0,Os,187.0,76.0,10.302324745978694
He,3.0,2.0,W,186.0,74.0,Os,189.0,76.0,11.289708491996862
Li,7.0,3.0,W,184.0,74.0,Ir,191.0,77.0,5.7240312444919255
Li,7.0,3.0,W,186.0,74.0,Ir,193.0,77.0,6.581005816493416
Be,9.0,4.0,W,183.0,74.0,Pt,192.0,78.0,0.9743428285873961
Be,9.0,4.0,W,186.0,74.0,Pt,195.0,78.0,1.5891289345745463
D,2.0,1.0,Xe,131.0,54.0,Cs,133.0,55.0,13.133135315903928
Н,1.0,1.0,Xe,132.0,54.0,Cs,133.0,55.0,6.424514807702508
Н,1.0,1.0,Xe,136.0,54.0,Cs*,137.0,55.0,7.662470466588275
Не,4.0,2.0,Xe,126.0,54.0,Ba,130.0,56.0,0.5328146251995349
Не,4.0,2.0,Xe,128.0,54.0,Ba,132.0,56.0,0.9510554760927334
He,3.0,2.0,Xe,129.0,54.0,Ba,132.0,56.0,14.618868405406829
Не,4.0,2.0,Xe,130.0,54.0,Ba,134.0,56.0,1.6794838623172836
He,3.0,2.0,Xe,131.0,54.0,Ba,134.0,56.0,15.655621338708443
Не,4.0,2.0,Xe,131.0,54.0,Ba,135.0,56.0,1.9747674919926794
He,3.0,2.0,Xe,132.0,54.0,Ba,135.0,56.0,13.620306730197626
Не,4.0,2.0,Xe,132.0,54.0,Ba,136.0,56.0,2.2402433105162345
He,3.0,2.0,Xe,134.0,54.0,Ba,137.0,56.0,14.780948378785979
Не,4.0,2.0,Xe,134.0,54.0,Ba,138.0,56.0,2.786098853102885
Li,7.0,3.0,Xe,131.0,54.0,La,138.0,57.0,13.303598736194544
Li,6.0,3.0,Xe,132.0,54.0,La,138.0,57.0,11.623183379808324
Li,7.0,3.0,Xe,132.0,54.0,La,139.0,57.0,13.140587268702802
Be,9.0,4.0,Xe,129.0,54.0,Ce,138.0,58.0,10.479308624999248
Be,9.0,4.0,Xe,131.0,54.0,Ce,140.0,58.0,10.668401927294326
B,11.0,5.0,Xe,130.0,54.0,Pr,141.0,59.0,5.053355492535047
B,10.0,5.0,Xe,131.0,54.0,Pr,141.0,59.0,9.907371247623814
C,13.0,6.0,Xe,129.0,54.0,Nd,142.0,60.0,0.614786106016254
Н,1.0,1.0,Y,89.0,39.0,Zr,90.0,40.0,8.322899783495814
D,2.0,1.0,Y,89.0,39.0,Zr,91.0,40.0,13.303598736209096
Не,4.0,2.0,Y,89.0,39.0,Nb,93.0,41.0,1.875097623313195
Li,6.0,3.0,Y,89.0,39.0,Mo,95.0,42.0,13.81964646760025
Li,7.0,3.0,Y,89.0,39.0,Mo,96.0,42.0,15.728277878501103
B,10.0,5.0,Y,89.0,39.0,Ru,99.0,44.0,11.447130994900363
B,11.0,5.0,Y,89.0,39.0,Ru,100.0,44.0,10.912453381504747
N,15.0,7.0,Y,89.0,39.0,Pd,104.0,46.0,1.8424953298090259
D,2.0,1.0,Yb,173.0,70.0,Lu,175.0,71.0,10.723360079195118
Н,1.0,1.0,Yb,174.0,70.0,Lu,175.0,71.0,5.547047365485923
D,2.0,1.0,Yb,174.0,70.0,Lu,176.0,71.0,9.670771746197715
He,3.0,2.0,Yb,171.0,70.0,Hf,174.0,72.0,11.410802724974928
He,3.0,2.0,Yb,173.0,70.0,Hf,176.0,72.0,11.811345187976258
He,3.0,2.0,Yb,174.0,70.0,Hf,177.0,72.0,10.777386736997869
He,3.0,2.0,Yb,176.0,70.0,Hf,179.0,72.0,11.876549774984596
Li,7.0,3.0,Yb,173.0,70.0,Ta,180.0,73.0,6.32018746851827
Li,6.0,3.0,Yb,174.0,70.0,Ta,180.0,73.0,6.172079906595172
Li,7.0,3.0,Yb,174.0,70.0,Ta,181.0,73.0,6.562375934503507
Be,9.0,4.0,Yb,171.0,70.0,W,180.0,74.0,1.570499052584637
Be,9.0,4.0,Yb,173.0,70.0,W,182.0,74.0,2.0641909255937207
Be,9.0,4.0,Yb,174.0,70.0,W,183.0,74.0,0.8532485955802258
D,2.0,1.0,Zn,67.0,30.0,Ga,69.0,31.0,14.502431642904412
Н,1.0,1.0,Zn,68.0,30.0,Ga,69.0,31.0,6.527910652803257
Н,1.0,1.0,Zn,70.0,30.0,Ga,71.0,31.0,7.762140335296863
Не,4.0,2.0,Zn,66.0,30.0,Ge,70.0,32.0,3.981205783391488
He,3.0,2.0,Zn,67.0,30.0,Ge,70.0,32.0,17.513952068198705
Не,4.0,2.0,Zn,68.0,30.0,Ge,72.0,32.0,5.017027222609613
He,3.0,2.0,Zn,70.0,30.0,Ge,73.0,32.0,16.783660693792626
Не,4.0,2.0,Zn,70.0,30.0,Ge,74.0,32.0,6.3350913741014665
Li,7.0,3.0,Zn,68.0,30.0,As,75.0,33.0,17.968521188988234
Be,9.0,4.0,Zn,67.0,30.0,Se,76.0,34.0,18.72862037460436
Be,9.0,4.0,Zn,68.0,30.0,Se,77.0,34.0,15.944384509697556
B,11.0,5.0,Zn,68.0,30.0,Br,79.0,35.0,14.738099650203367
B,11.0,5.0,Zn,70.0,30.0,Br,81.0,35.0,17.05472547688987
C,12.0,6.0,Zn,66.0,30.0,Kr,78.0,36.0,5.290886488000979
C,13.0,6.0,Zn,67.0,30.0,Kr,80.0,36.0,13.152696691991878
C,12.0,6.0,Zn,68.0,30.0,Kr,80.0,36.0,7.900932956195902
C,12.0,6.0,Zn,70.0,30.0,Kr,82.0,36.0,11.052177496501827
C,13.0,6.0,Zn,70.0,30.0,Kr,83.0,36.0,13.572800531095709
N,15.0,7.0,Zn,70.0,30.0,Rb,85.0,37.0,12.804317898597219
O,18.0,8.0,Zn,66.0,30.0,Sr,84.0,38.0,11.021438191193738
O,17.0,8.0,Zn,67.0,30.0,Sr,84.0,38.0,12.022794348697062
O,16.0,8.0,Zn,68.0,30.0,Sr,84.0,38.0,5.965288216393674
O,18.0,8.0,Zn,68.0,30.0,Sr,86.0,38.0,13.753510386508424
O,16.0,8.0,Zn,70.0,30.0,Sr,86.0,38.0,10.249229582303087
O,17.0,8.0,Zn,70.0,30.0,Sr,87.0,38.0,14.523856007188442
O,18.0,8.0,Zn,70.0,30.0,Sr,88.0,38.0,17.603375501799746
F,19.0,9.0,Zn,70.0,30.0,Y,89.0,39.0,17.06776639430609
Ne,22.0,10.0,Zn,68.0,30.0,Zr,90.0,40.0,11.11272461299086
Ne,20.0,10.0,Zn,70.0,30.0,Zr,90.0,40.0,12.547225526999682
Ne,21.0,10.0,Zn,70.0,30.0,Zr,91.0,40.0,12.991548212710768
Ne,22.0,10.0,Zn,70.0,30.0,Zr,92.0,40.0,11.311132856295444
Na,23.0,11.0,Zn,70.0,30.0,Nb,93.0,41.0,8.477527804105193
Mg,26.0,12.0,Zn,66.0,30.0,Mo,92.0,42.0,2.188079640895012
Mg,25.0,12.0,Zn,67.0,30.0,Mo,92.0,42.0,6.240078975897632
Mg,24.0,12.0,Zn,68.0,30.0,Mo,92.0,42.0,3.372008641992579
Mg,26.0,12.0,Zn,68.0,30.0,Mo,94.0,42.0,2.5299379755888367
Mg,24.0,12.0,Zn,70.0,30.0,Mo,94.0,42.0,5.265736147295684
Mg,25.0,12.0,Zn,70.0,30.0,Mo,95.0,42.0,5.093409738794435
Mg,26.0,12.0,Zn,70.0,30.0,Mo,96.0,42.0,3.156833504908718
D,2.0,1.0,Zr,91.0,40.0,Nb,93.0,41.0,12.41867934120819
Н,1.0,1.0,Zr,92.0,40.0,Nb,93.0,41.0,5.956904769511311
Не,4.0,2.0,Zr,90.0,40.0,Mo,94.0,42.0,2.033451620300184
He,3.0,2.0,Zr,91.0,40.0,Mo,94.0,42.0,15.406912413993268
Не,4.0,2.0,Zr,91.0,40.0,Mo,95.0,42.0,1.9868769152963068
He,3.0,2.0,Zr,92.0,40.0,Mo,95.0,42.0,13.879262090005795
Не,4.0,2.0,Zr,92.0,40.0,Mo,96.0,42.0,2.4619389063154813
He,3.0,2.0,Zr,94.0,40.0,Mo,97.0,42.0,15.295133122010157
Не,4.0,2.0,Zr,94.0,40.0,Mo,98.0,42.0,3.011520425294293
Не,4.0,2.0,Zr,96.0,40.0,Mo,100.0,42.0,3.011520425294293
Be,9.0,4.0,Zr,90.0,40.0,Ru,99.0,44.0,9.711757486598799
Be,9.0,4.0,Zr,91.0,40.0,Ru,100.0,44.0,13.428418945593876
Be,9.0,4.0,Zr,92.0,40.0,Ru,101.0,44.0,11.788989329594187
B,11.0,5.0,Zr,92.0,40.0,Rh,103.0,45.0,8.471938839516952
C,13.0,6.0,Zr,91.0,40.0,Pd,104.0,46.0,4.698456240395899
C,12.0,6.0,Zr,92.0,40.0,Pd,104.0,46.0,0.9594389230041998
C,13.0,6.0,Zr,92.0,40.0,Pd,105.0,46.0,3.077656506400672
C,12.0,6.0,Zr,94.0,40.0,Pd,106.0,46.0,2.7385926540009677
C,12.0,6.0,Zr,96.0,40.0,Pd,108.0,46.0,3.9867947479942814
N,15.0,7.0,Zr,94.0,40.0,Ag,109.0,47.0,1.4419528668076964
O,17.0,8.0,Zr,91.0,40.0,Cd,108.0,48.0,0.3576937344041653
O,18.0,8.0,Zr,92.0,40.0,Cd,110.0,48.0,0.7265653979993658
O,17.0,8.0,Zr,94.0,40.0,Cd,111.0,48.0,0.7116614924016176
O,18.0,8.0,Zr,94.0,40.0,Cd,112.0,48.0,2.291475486010313
O,16.0,8.0,Zr,96.0,40.0,Cd,112.0,48.0,0.25616087749949656
O,17.0,8.0,Zr,96.0,40.0,Cd,113.0,48.0,2.5373899284022627
O,18.0,8.0,Zr,96.0,40.0,Cd,114.0,48.0,3.530362639008672
F,19.0,9.0,Zr,94.0,40.0,In,113.0,49.0,0.2468459365045419
F,19.0,9.0,Zr,96.0,40.0,In,115.0,49.0,2.361337543494301
D,2.0,1.0,Не,4.0,2.0,Li,6.0,3.0,1.4708291838987861
