id,A,Z,nBorF,aBorF,E,AMU,BE,BEN,SUS,LHL,RDM,DEMeV,pcaNCrust,ppmNCrust,ppmNSolar,SP,MD,EQ,RCPT,Inova_MHz
149,113,49,f,b,In,112.90406184000,963.06434198620,8.52269329191,SPN,50.0000,null,0.0000,4.2800,0.0107,null,9/2+,5.5208000000,0.7590000000,83.8000,87.463
150,115,49,f,b,In,114.90387877600,979.37703898814,8.51632207816,UPN,14.6434,b-,0.4990,95.7200,0.2393,null,9/2+,5.5326000000,0.7700000000,1890.0000,87.650
151,112,50,b,b,Sn,111.90482387000,953.50109498757,8.51340263382,SPN,50.0000,null,0.0000,0.9600,0.02208,null,null,null,null,null,null
152,114,50,b,b,Sn,113.90278270000,971.54460719966,8.52232111579,SPN,50.0000,null,0.0000,0.6600,0.01518,null,null,null,null,null,null
153,115,50,f,f,Sn,114.90334469900,979.09219527732,8.51384517632,SPN,50.0000,null,0.0000,0.3500,0.00805,null,1/2+,-0.9174000000,null,0.6930,136.828
154,116,50,b,b,Sn,115.90174280000,988.65544208039,8.52289174207,SPN,50.0000,null,0.0000,14.3000,0.3289,null,null,null,null,null,null
155,117,50,f,f,Sn,116.90295398000,995.59832173509,8.50938736526,SPN,50.0000,null,0.0000,7.6100,0.17503,null,1/2+,-0.9995000000,null,19.5400,142.529
156,118,50,b,b,Sn,117.90160657000,1004.92451347670,8.51630943624,SPN,50.0000,null,0.0000,24.0300,0.55269,null,null,null,null,null,null
157,119,50,f,f,Sn,118.90331117000,1011.40777519740,8.49922500166,SPN,50.0000,null,0.0000,8.5800,0.19734,null,1/2+,-1.0459000000,null,25.2000,149.163
158,120,50,b,b,Sn,119.90220163000,1020.51239238190,8.50426993652,SPN,50.0000,null,0.0000,32.8500,0.75555,null,null,null,null,null,null
159,122,50,b,b,Sn,121.90344380000,1035.49749198880,8.48768436056,SPN,50.0000,null,0.0000,4.9200,0.11316,null,null,null,null,null,null
160,124,50,b,b,Sn,123.90527660000,1049.93242309750,8.46719696046,SPN,50.0000,null,0.0000,5.9400,0.13662,null,null,null,null,null,null
161,121,51,f,b,Sb,120.90381200000,1026.30109540350,8.48182723474,SPN,50.0000,null,0.0000,57.2500,0.1145,null,5/2+,3.3580000000,-0.5430000000,520.0000,95.722
162,123,51,f,b,Sb,122.90421320000,1042.06955380020,8.47211019350,SPN,50.0000,null,0.0000,42.7500,0.0855,null,7/2+,2.5457000000,-0.6920000000,111.0000,51.836
163,120,52,b,b,Te,119.90405930000,1017.21731648320,8.47681097069,SPN,50.0000,null,0.0000,0.8900,0.0000089,null,null,null,null,null,null
164,122,52,b,b,Te,121.90304350000,1034.30570235050,8.47791559304,SPN,50.0000,null,0.0000,2.4600,0.0000246,null,null,null,null,null,null
165,123,52,f,f,Te,122.90426980000,1041.23449781090,8.46532112041,SPN,14.7781,null,0.0000,0.8700,0.0000087,null,1/2+,-0.7358000000,null,0.8900,126.199
166,124,52,b,b,Te,123.90281710000,1050.65876659090,8.47305456928,SPN,50.0000,null,0.0000,4.6100,0.0000461,null,null,null,null,null,null
167,125,52,f,f,Te,124.90442990000,1057.22753949130,8.45782031593,SPN,50.0000,null,0.0000,6.9900,0.0000699,null,1/2+,-0.8870000000,null,12.5000,104.679
168,126,52,b,b,Te,125.90331090000,1066.34096861220,8.46302356041,SPN,50.0000,null,0.0000,18.7100,0.0001871,null,null,null,null,null,null
169,128,52,b,b,Te,127.90446128000,1081.41157008400,8.44852789128,UPN,24.3424,2 b-,2.5300,31.7900,0.0003179,null,null,null,null,null,null
170,130,52,b,b,Te,129.90622274800,1095.91294654660,8.43009958882,UPN,18.9448,2 b-,0.8680,34.4800,0.0003448,null,null,null,null,null,null
171,127,53,f,b,I,126.90447190000,1072.54825724260,8.44526186805,SPN,50.0000,null,0.0000,100.0000,0.45,null,5/2+,2.8087000000,-0.6960000000,530.0000,80.034
172,124,54,b,b,Xe,123.90589200000,1046.22984784460,8.43733748262,UPN,22.2553,KK,2.8640,0.0961,null,null,null,null,null,null,null
173,126,54,b,b,Xe,125.90429830000,1063.85654428730,8.44330590704,SPN,50.0000,null,0.0000,0.0900,null,null,null,null,null,null,null
174,128,54,b,b,Xe,127.90353100000,1080.71345381270,8.44307385791,SPN,50.0000,null,0.0000,1.9200,null,null,null,null,null,null,null
175,129,54,f,f,Xe,128.90478086110,1087.62030224190,8.43116513366,SPN,50.0000,null,0.0000,26.4400,null,null,1/2+,-0.7779610000,null,31.8000,110.632
176,130,54,b,b,Xe,129.90350934900,1096.87579551980,8.43750611938,SPN,50.0000,null,0.0000,4.0800,null,null,null,null,null,null,null
177,131,54,f,f,Xe,130.90508406000,1103.48004810790,8.42351181762,SPN,50.0000,null,0.0000,21.1800,null,null,3/2+,0.6918450000,-0.1140000000,null,null
178,132,54,b,b,Xe,131.90415508560,1112.41646945910,8.42739749590,SPN,50.0000,null,0.0000,26.8900,null,null,null,null,null,null,null
179,134,54,b,b,Xe,133.90539466000,1127.40398685280,8.41346258845,SPN,50.0000,null,0.0000,10.4400,null,null,null,null,null,null,null
180,136,54,b,b,Xe,135.90721448400,1141.85100503200,8.39596327229,UPN,21.3354,2 b-,2.4620,8.8700,null,null,null,null,null,null,null
181,133,55,f,b,Cs,132.90545196100,1118.49719092430,8.40975331522,SPN,50.0000,null,0.0000,100.0000,3,null,7/2+,2.5778000000,-0.0034300000,269.0000,52.465
182,137,55,f,b,Cs,136.90708900000,1149.25664621850,8.38873464393,UPN,1.5092,g or b-,0.6617,0.0000,0,null,7/2+,2.8374000000,0.0480000000,null,null
183,130,56,b,b,Ba,129.90632070000,1092.69237117360,8.40532593210,UPN,21.0792,KK,2.6200,0.1010,0.42925,null,null,null,null,null,null
184,132,56,b,b,Ba,131.90506110000,1110.00785535940,8.40915041939,SPN,50.0000,null,0.0000,0.0970,0.41225,null,null,null,null,null,null
185,134,56,b,b,Ba,133.90450818000,1126.66507112960,8.40794829201,SPN,50.0000,null,0.0000,2.4200,10.285,null,null,null,null,null,null
186,135,56,f,f,Ba,134.90568838000,1133.63680847880,8.39730969244,SPN,50.0000,null,0.0000,6.5900,28.0075,null,3/2+,0.8381000000,0.1600000000,null,null
187,136,56,b,b,Ba,135.90457573000,1142.74432261060,8.40253178390,SPN,50.0000,null,0.0000,7.8100,33.1925,null,null,null,null,null,null
188,137,56,f,f,Ba,136.90582714000,1149.64972824830,8.39160385583,SPN,50.0000,null,0.0000,11.3200,48.11,null,3/2+,0.9375000000,0.2450000000,4.4100,44.452
189,138,56,b,b,Ba,137.90524700000,1158.26121233260,8.39319719082,SPN,50.0000,null,0.0000,71.6600,304.555,null,null,null,null,null,null
190,138,57,b,f,La,137.90711490000,1155.73894065690,8.37491985983,UPN,11.0090,K or b-,1.7370,0.0890,0.03471,null,5+,3.7084000000,0.3900000000,null,null
191,139,57,f,b,La,138.90635630000,1164.51665922000,8.37781769223,SPN,50.0000,null,0.0000,99.9110,38.96529,null,7/2+,2.7791000000,0.2000000000,336.0000,56.502
192,136,58,b,b,Ce,135.90712921000,1138.80110363980,8.37353752676,SPN,50.0000,null,0.0000,0.1930,0.128345,null,null,null,null,null,null
193,138,58,b,b,Ce,137.90599100000,1156.00351372840,8.37683705600,SPN,50.0000,null,0.0000,0.2500,0.16625,null,null,null,null,null,null
194,140,58,b,b,Ce,139.90544310000,1172.65605339700,8.37611466712,SPN,50.0000,null,0.0000,88.4800,58.8392,null,null,null,null,null,null
195,142,58,b,b,Ce,141.90925040000,1185.25174894410,8.34684330242,SPN,50.0000,null,0.0000,11.0700,7.36155,null,null,null,null,null,null
196,141,59,f,b,Pr,140.90765760000,1177.88201274700,8.35377314005,SPN,50.0000,null,0.0000,100.0000,9.2,null,5/2+,4.2660000000,-0.0770000000,1700.0000,117.164
197,142,60,b,b,Nd,141.90772900000,1185.10425760320,8.34580463101,SPN,50.0000,null,0.0000,27.1100,11.25065,null,null,null,null,null,null
198,143,60,f,f,Nd,142.90982000000,1191.22758991340,8.33026286653,SPN,50.0000,null,0.0000,12.1700,5.05055,null,7/2-,-1.0650000000,-0.6100000000,null,null
199,144,60,b,b,Nd,143.91009300000,1199.04437892190,8.32669707585,UPN,15.3602,A,1.9050,23.8500,9.89775,null,null,null,null,null,null
200,145,60,f,f,Nd,144.91257930000,1204.79949152200,8.30896201050,SPN,50.0000,null,0.0000,8.3000,3.4445,null,7/2-,-0.6560000000,-0.3140000000,null,null
201,146,60,b,b,Nd,145.91312260000,1212.36449761230,8.30386642200,SPN,50.0000,null,0.0000,17.2200,7.1463,null,null,null,null,null,null
202,148,60,b,b,Nd,147.91689930000,1224.98869688600,8.27695065463,SPN,50.0000,null,0.0000,5.7300,2.37795,null,null,null,null,null,null
203,150,60,b,b,Nd,149.92090220000,1237.40219214140,8.24934794761,UPN,18.8979,2 b-,3.3670,5.6200,2.3323,null,null,null,null,null,null
204,144,62,b,b,Sm,143.91200650000,1195.69729769470,8.30345345621,SPN,50.0000,null,0.0000,3.0900,0.217845,null,null,null,null,null,null
205,147,62,f,f,Sm,146.91490440000,1217.21118115030,8.28034817109,UPN,11.0257,a,2.3100,14.9700,1.055385,null,7/2-,-0.8090000000,-0.2600000000,null,null
206,148,62,b,b,Sm,147.91482920000,1225.35231648590,8.27940754382,UPN,15.8454,a,1.9860,11.2400,0.79242,null,null,null,null,null,null
207,149,62,f,f,Sm,148.91719210000,1231.22237548670,8.26323741937,SPN,50.0000,null,0.0000,13.8300,0.975015,null,7/2-,-0.6677000000,-0.0780000000,null,null
208,150,62,b,b,Sm,149.91728290000,1239.20888276290,8.26139255175,SPN,50.0000,null,0.0000,7.4400,0.52452,null,null,null,null,null,null
209,152,62,b,b,Sm,151.91973970000,1253.06256140750,8.24383264084,SPN,50.0000,null,0.0000,76.7200,5.40876,null,null,null,null,null,null
210,154,62,b,b,Sm,153.92221690000,1266.89723756760,8.22660543875,SPN,50.0000,null,0.0000,22.7100,1.601055,null,null,null,null,null,null
211,151,63,f,b,Eu,150.91985780000,1244.09913155500,8.23906709639,UPN,18.6993,a,1.9644,47.8200,0.9564,null,5/2+,3.4635000000,0.3918000000,480.0000,99.202
212,153,63,f,b,Eu,152.92123800000,1258.95565699910,8.22846834640,SPN,50.0000,null,0.0000,52.1800,1.0436,null,5/2+,1.5294000000,2.2200000000,45.0000,43.806
213,152,64,b,b,Gd,151.91979950000,1251.44219122630,8.23317231070,UPN,14.0414,a,2.2030,0.2000,0.0124,null,null,null,null,null,null
214,154,64,b,b,Gd,153.92087410000,1266.58338133870,8.22456741129,SPN,50.0000,null,0.0000,2.1500,0.1333,null,null,null,null,null,null
215,155,64,f,f,Gd,154.92263050000,1273.01839165290,8.21302188163,SPN,50.0000,null,0.0000,14.7300,0.91326,null,3/2-,-0.2591000000,1.2700000000,null,null
216,156,64,b,b,Gd,155.92213120000,1281.55457373530,8.21509342138,SPN,50.0000,null,0.0000,20.4700,1.26914,null,null,null,null,null,null
217,157,64,f,f,Gd,156.92396860000,1287.91413300840,8.20327473254,SPN,50.0000,null,0.0000,15.6800,0.97216,null,3/2-,-0.3398000000,1.3600000000,null,null
218,158,64,b,b,Gd,157.92411230000,1295.85136423430,8.20159091288,SPN,50.0000,null,0.0000,24.8700,1.54194,null,null,null,null,null,null
219,160,64,b,b,Gd,159.92706240000,1309.24553672410,8.18278460453,SPN,50.0000,null,0.0000,21.9000,1.3578,null,null,null,null,null,null
220,159,65,f,b,Tb,158.92535470000,1301.98282922590,8.18857125299,SPN,50.0000,null,0.0000,100.0000,1.2,null,3/2+,2.0090000000,1.4320000000,330.0000,90.714
221,156,66,b,b,Dy,155.92428470000,1277.98393386800,8.19220470428,SPN,50.0000,null,0.0000,0.0520,0.002704,null,null,null,null,null,null
222,158,66,b,b,Dy,157.92441590000,1294.00389573460,8.18989807427,SPN,50.0000,null,0.0000,0.0900,0.00468,null,null,null,null,null,null
223,160,66,b,b,Dy,159.92520460000,1309.41140007700,8.18382125048,SPN,50.0000,null,0.0000,2.2900,0.11908,null,null,null,null,null,null
224,161,66,f,f,Dy,160.92694050000,1315.86550602510,8.17307767717,SPN,50.0000,null,0.0000,18.8800,0.98176,null,5/2+,-0.4790000000,2.5100000000,null,null
225,162,66,b,b,Dy,161.92680560000,1324.06225157230,8.17322377514,SPN,50.0000,null,0.0000,25.5300,1.32756,null,null,null,null,null,null
226,163,66,f,f,Dy,162.92873830000,1330.33303943540,8.16155238917,SPN,50.0000,null,0.0000,24.9700,1.29844,null,5/2-,0.6710000000,2.6500000000,null,null
227,164,66,b,b,Dy,163.92918190000,1337.99091551070,8.15848119214,SPN,50.0000,null,0.0000,28.1800,1.46536,null,null,null,null,null,null
228,165,67,f,b,Ho,164.93032880000,1344.21133821110,8.14673538310,SPN,50.0000,null,0.0000,100.0000,1.3,null,7/2-,4.1600000000,3.5800000000,1000.0000,82.052
229,162,68,b,b,Er,161.92878840000,1320.65061778770,8.15216430733,SPN,50.0000,null,0.0000,0.1360,0.00476,null,null,null,null,null,null
230,164,68,b,b,Er,163.92920880000,1336.40119149310,8.14878775301,SPN,50.0000,null,0.0000,1.5600,0.0546,null,null,null,null,null,null
231,166,68,b,b,Er,165.93029950000,1351.52738454680,8.14173123221,SPN,50.0000,null,0.0000,33.4100,1.16935,null,null,null,null,null,null
232,167,68,f,f,Er,166.93205460000,1357.96360580360,8.13151859763,SPN,50.0000,null,0.0000,22.9400,0.8029,null,7/2+,-0.5623000000,3.5700000000,null,null
233,168,68,b,b,Er,167.93237670000,1365.73465844040,8.12937296691,SPN,50.0000,null,0.0000,27.0700,0.94745,null,null,null,null,null,null
234,170,68,b,b,Er,169.93547020000,1378.99525464280,8.11173679202,SPN,50.0000,null,0.0000,14.8800,0.5208,null,null,null,null,null,null
235,169,69,f,b,Tm,168.93421790000,1371.30834462510,8.11425055991,SPN,50.0000,null,0.0000,100.0000,0.52,null,1/2+,-0.2310000000,null,null,null
236,170,70,b,b,Yb,169.93476640000,1378.08617353470,8.10638925609,SPN,50.0000,null,0.0000,3.0300,0.09696,null,null,null,null,null,null
237,171,70,f,f,Yb,170.93633020000,1384.70058965750,8.09766426700,SPN,50.0000,null,0.0000,14.3100,0.45792,null,1/2-,0.4923000000,null,null,null
238,172,70,b,b,Yb,171.93638590000,1392.71979238470,8.09720809526,SPN,50.0000,null,0.0000,21.8100,0.69792,null,null,null,null,null,null
239,173,70,f,f,Yb,172.93821510000,1399.08698991140,8.08720803417,SPN,50.0000,null,0.0000,16.1300,0.51616,null,5/2-,-0.6780000000,2.8000000000,null,null
240,174,70,b,b,Yb,173.93886640000,1406.55139461360,8.08362870468,SPN,50.0000,null,0.0000,31.8400,1.01888,null,null,null,null,null,null
241,176,70,b,b,Yb,175.94257640000,1419.23772455940,8.06385070772,SPN,50.0000,null,0.0000,12.7300,0.40736,null,null,null,null,null,null
242,175,71,f,b,Lu,174.94077520000,1412.06211178140,8.06892635304,SPN,50.0000,null,0.0000,97.4100,0.48705,null,7/2+,2.2257000000,3.4900000000,156.0000,45.630
243,176,71,b,f,Lu,175.94268970000,1418.34985284140,8.05880598205,UPN,10.5756,b-,1.1930,2.5900,0.01295,null,7-,3.1600000000,4.9200000000,null,null
244,174,72,b,b,Hf,173.94004610000,1403.88784392830,8.06832094212,UPN,15.3015,a,2.4970,0.1800,0.0054,null,null,null,null,null,null
245,176,72,b,b,Hf,175.94140760000,1418.76178831640,8.06114652453,SPN,50.0000,null,0.0000,5.2000,0.156,null,null,null,null,null,null
246,177,72,f,f,Hf,176.94322770000,1425.13746244160,8.05162408159,SPN,50.0000,null,0.0000,18.5000,0.555,null,7/2-,0.7910000000,3.3700000000,null,null
247,178,72,b,b,Hf,177.94370580000,1432.76320196230,8.04923147170,SPN,50.0000,null,0.0000,27.1400,0.8142,null,null,null,null,null,null
248,179,72,f,f,Hf,178.94582320000,1438.86194282210,8.03833487610,SPN,50.0000,null,0.0000,13.7500,0.4125,null,9/2+,-0.6389000000,3.7900000000,null,null
249,180,72,b,b,Hf,179.94655700000,1446.24949924170,8.03471944023,SPN,50.0000,null,0.0000,35.2400,1.0572,null,null,null,null,null,null
250,180,73,b,f,Ta,179.94746480000,1444.62155527570,8.02567530709,SPN,15.0000,null,0.0000,0.0123,0.000246,null,9-,4.8140000000,4.8000000000,null,null
251,181,73,f,b,Ta,180.94799580000,1452.19801874620,8.02319347374,SPN,50.0000,null,0.0000,99.9880,1.99976,null,7/2+,2.3705000000,3.1700000000,204.0000,47.958
252,180,74,b,b,W,179.94671080000,1444.54156859320,8.02523093663,UPN,18.2555,a,2.5090,0.1400,0.00175,null,null,null,null,null,null
253,182,74,b,b,W,181.94820394000,1459.29289106730,8.01809280806,SPN,50.0000,null,0.0000,26.4100,0.330125,null,null,null,null,null,null
254,183,74,f,f,W,182.95022275000,1465.48346795340,8.00810638226,SPN,50.0000,null,0.0000,14.4000,0.18,null,1/2-,0.1173900000,null,null,null
255,184,74,b,b,W,183.95093092000,1472.89489857280,8.00486357920,SPN,50.0000,null,0.0000,30.6400,0.383,null,null,null,null,null,null
256,186,74,b,b,W,185.95436280000,1485.84029572260,7.98838868668,SPN,50.0000,null,0.0000,28.4100,0.355125,null,null,null,null,null,null
257,185,75,f,b,Re,184.95295450000,1478.29869882100,7.99080377741,SPN,50.0000,null,0.0000,37.0700,0.00025949,null,5/2+,3.1760000000,2.1800000000,280.0000,90.098
258,187,75,f,b,Re,186.95575010000,1491.83678718530,7.97773682987,UPN,10.6151,b-,0.0026,62.9300,0.00044051,null,5/2+,3.2090000000,2.0700000000,490.0000,91.006
259,184,76,b,b,Os,183.95248850000,1469.87935480880,7.98847475440,SPN,50.0000,null,0.0000,0.0180,0.00000027,null,null,null,null,null,null
260,186,76,b,b,Os,185.95383500000,1484.76727161190,7.98261973985,UPN,15.3015,a,2.8230,1.5900,0.00002385,null,null,null,null,null,null
261,187,76,f,f,Os,186.95574740000,1491.05696881000,7.97356667813,SPN,50.0000,null,0.0000,1.6400,0.0000246,null,1/2-,0.0644200000,null,null,null
262,188,76,b,b,Os,187.95583520000,1499.04627056920,7.97365037537,SPN,50.0000,null,0.0000,13.3000,0.0001995,null,null,null,null,null,null
263,189,76,f,f,Os,188.95814420000,1504.96653711460,7.96278591066,SPN,50.0000,null,0.0000,16.1000,0.0002415,null,3/2-,0.6576000000,0.8600000000,null,null
264,190,76,b,b,Os,189.95844370000,1512.75864152330,7.96188758696,SPN,50.0000,null,0.0000,26.4000,0.000396,null,null,null,null,null,null
265,192,76,b,b,Os,191.96147700000,1526.07531368460,7.94830892544,SPN,50.0000,null,0.0000,41.0000,0.000615,null,null,null,null,null,null
266,191,77,f,b,Ir,190.96058930000,1518.04878083290,7.94789937609,SPN,50.0000,null,0.0000,37.3000,0.000373,null,3/2+,0.1502000000,0.8160000000,null,null
267,193,77,f,b,Ir,192.96292160000,1532.01843052200,7.93791932913,SPN,50.0000,null,0.0000,62.7000,0.000627,null,3/2+,0.1630000000,0.7510000000,null,null
268,190,78,b,b,Pt,189.95992970000,1509.80977412370,7.94636723223,UPN,11.8129,a,3.2520,0.0127,0.000000635,null,null,null,null,null,null
269,192,78,b,b,Pt,191.96103870000,1524.91892083100,7.94228604599,SPN,50.0000,null,0.0000,0.7800,0.000039,null,null,null,null,null,null
270,194,78,b,b,Pt,193.96268090000,1539.53139475970,7.93572883897,SPN,50.0000,null,0.0000,32.9000,0.001645,null,null,null,null,null,null
271,195,78,f,f,Pt,194.96479170000,1545.63628348210,7.92633991529,SPN,50.0000,null,0.0000,33.8000,0.00169,null,1/2-,0.6073000000,null,19.1000,85.996
272,196,78,b,b,Pt,195.96495209000,1553.55796806750,7.92631616361,SPN,50.0000,null,0.0000,25.3000,0.001265,null,null,null,null,null,null
273,198,78,b,b,Pt,197.96789490000,1566.95893115100,7.91393399571,SPN,50.0000,null,0.0000,7.2100,0.0003605,null,null,null,null,null,null
274,197,79,f,b,Au,196.96656879000,1559.34077473010,7.91543540472,SPN,50.0000,null,0.0000,100.0000,0.004,null,3/2+,0.1452000000,0.5470000000,null,null
275,196,80,b,b,Hg,195.96583260000,1551.17311117190,7.91414852639,SPN,50.0000,null,0.0000,0.1460,0.0001241,null,null,null,null,null,null
276,198,80,b,b,Hg,197.96676860000,1566.44340639900,7.91133033535,SPN,50.0000,null,0.0000,10.0200,0.008517,null,null,null,null,null,null
277,199,80,f,f,Hg,198.96828064000,1573.10603666840,7.90505546065,SPN,50.0000,null,0.0000,16.8400,0.014314,null,1/2-,0.5039000000,null,5.4200,71.643
278,200,80,b,b,Hg,199.96832659000,1581.13432146540,7.90567160733,SPN,50.0000,null,0.0000,23.1300,0.0196605,null,null,null,null,null,null
279,201,80,f,f,Hg,200.97030284000,1587.36454275040,7.89733603358,SPN,50.0000,null,0.0000,13.2200,0.011237,null,3/2-,-0.5580000000,0.3870000000,null,null
280,202,80,b,b,Hg,201.97064340000,1595.11840000180,7.89662574258,SPN,50.0000,null,0.0000,29.8000,0.02533,null,null,null,null,null,null
281,204,80,b,b,Hg,203.97349398000,1608.60527480770,7.88531997455,SPN,50.0000,null,0.0000,6.8500,0.0058225,null,null,null,null,null,null
282,203,81,f,b,Tl,202.97234460000,1600.82249539320,7.88582510046,SPN,50.0000,null,0.0000,29.5000,0.25075,null,1/2+,1.6160000000,null,null,null
283,205,81,f,b,Tl,204.97442780000,1615.02418032080,7.87816673327,SPN,50.0000,null,0.0000,70.5000,0.59925,null,1/2+,1.6320000000,null,null,null
284,204,82,b,b,Pb,203.97304400000,1607.45976180790,7.87970471474,SPN,50.0000,null,0.0000,1.4800,0.2072,null,null,null,null,null,null
285,206,82,b,b,Pb,205.97446570000,1622.27763023710,7.87513412736,SPN,50.0000,null,0.0000,23.6000,3.304,null,null,null,null,null,null
286,207,82,f,f,Pb,206.97589730000,1629.01518991080,7.86963859860,SPN,50.0000,null,0.0000,22.6000,3.164,null,1/2-,0.5906000000,null,11.8000,83.432
287,208,82,b,b,Pb,207.97665250000,1636.38281235180,7.86722505938,SPN,50.0000,null,0.0000,52.3000,7.322,null,null,null,null,null,null
288,209,83,f,b,Bi,208.98039910000,1640.18162923330,7.84775899155,UPN,19.2788,a,3.1370,100.0000,0.0085,null,9/2-,4.0920000000,-0.5160000000,777.0000,64.277
289,232,90,b,b,Th,232.03805580000,1766.63340613910,7.61479916439,UPN,10.1480,a or SF,4.0830,100.0000,9.6,null,null,null,null,null,null
290,235,92,f,f,U,235.04393010000,1783.81012304030,7.59068137464,UPN,8.8476,a or SF,4.6790,0.7200,0.01944,null,7/2-,-0.3800000000,4.9360000000,null,null
291,238,92,b,b,U,238.05078840000,1801.63491633740,7.56989460646,UPN,9.6504,a or SF or 2 b-,4.2700,99.2745,2.6804115,null,null,null,13.9000000000,null,null
292,239,94,f,f,Pu,239.05216360000,1806.86034547150,7.56008512750,SYN,4.3822,"SF, a, g, b-",5.1443,null,null,null,1/2+,0.2020000000,null,null,null
293,0,0,b,b,nu,0.00000000000,0.00000000000,0.00000000000,SPN,50.0000,null,0.0000,0.0000,0,0,null,null,null,null,null
